Name,CitationsPerPaper
Bernhard+Goller,3.0
Dibya Kanti+Mukherjee,4.0
Chungjong+Yu,2.5
Ciarán+Hickey,6.5
Martin+Neugebauer,3.3333333333333335
Valerii V.+Maximov,0.0
Bastian+Jungnitsch,17.0
Masashi+Yoshida,10.0
Marvin+Willers,0.0
Johannes+Courtial,20.714285714285715
Antoine+Goujon,5.0
Yasuhiro+Mochizuki,1.0
Volodymyr+Turkowski,1.5
Supeng+Kou,3.6666666666666665
Wolfgang+Mauerer,8.666666666666666
Philip A.+Shea,13.0
Rahul+Marathe,8.833333333333334
Andreas+Schärer,4.5
Sakura Nishino+Takeda,2.5
Jonathan D.+Denlinger,6.25
Chris+Kottke,2.0
Markéta L.+Munzarová,3.0
Frédéric+Aniel,8.5
Andreas+Schönhals,14.0
Fritz+Gassmann,7.0
Laurent+Duraffourg,2.0
Valer+Tosa,6.8
Vincent+Lin,0.0
Xianggang+Qiu,0.6
Albert L.+Hutchinson,16.0
Jacqueline+Krim,14.0
Naoko+Kurahashi,0.5
Axel+Müller-Groeling,12.11111111111111
Bikash Chandra+Gupta,1.0
Jens-Christian+Meiners,17.2
Sven+Stienen,4.0
Benoit+Semelin,1.0
Hubert K.+Chan,0.0
Marine+Verseils,0.0
Mauricio+Carrillo-Tripp,2.0
Emanuele G. Dalla+Torre,32.0
Sebastian+Eckert,3.0
Martin V.+Ferer,4.0
Monalisa+Patra,1.6666666666666667
Renato M.+Fonseca,3.2
Thierry+Roisnel,23.0
Soichiro+Okamura,0.0
Issac+Freund,20.0
Vera+Novak,1.0
Edwin+van der Pol,2.0
Vladimir+Timoshevskii,6.2
Antoine M.+van Oijen,12.0
Wendell H.+Potter,6.0
Andrzej+Daniluk,0.0
Thierry+Michel,22.0
Colin L.+Freeman,11.0
Thierry+Mora,8.692307692307692
Chester J.+Szwejkowski,3.5
Carena+Daniels,0.0
Yağmur+Aksu Korkmaz,0.0
Yoshimi+Tanaka,1.0
Mélanie+Ferrié,4.0
Alexeï+Bosak,2.0
Philippe+Dieudonné,1.0
Peter+Glans,10.666666666666666
Otavio+Socolowski,5.5
Piotr+Lange,1.0
Takahiro+Nakamura,14.0
Reed F.+Riley,5.0
Christopher+Lefky,2.0
Reijiro+Kubo,0.3333333333333333
Bernhard+Schrefler,0.0
Y. Henry+Wen,3.5
Roland+Glantz,1.0
Alexander W.+Glaetzle,13.0
Bojana+Popić,66.0
Laura+Tedeschini-Lalli,8.0
Ryuichi+Wada,22.0
Jérôme F. L.+Duval,1.0
Katalin+Varjú,36.666666666666664
Christian+Lerminiaux,11.0
Joachim+Fischbach,4.0
Eoin+Kerrane,10.333333333333334
Younes+Javanmard,0.0
Jacques+Dupont-Roc,39.0
Günter+Majer,1.5
Marcus+Heuberger,3.0
Teodor+Zaharia,1.0
Daichi+Muranaka,2.0
Donald P.+Schneider,70.66666666666667
Raúl+Gago,21.0
Marco+Borghesi,42.0
Aga+Shahee,1.0
Hannah+Funk,2.0
Elias+Coniavitis,3.0
Cristina+Navio,4.0
Timothy P.+Lodge,7.071428571428571
Florian+Strigl,10.0
Jose R.+Lozano,8.0
Yanier+Crespo,1.75
Sebastian+Keller,3.0
Ahmad+Bedram,0.0
Arvind+Vaidya,4.0
Vu Ngoc+Khiêm,0.0
Keshav N.+Shrivastava,2.5625
Marco+Guzzi,35.72727272727273
Wolfgang+Häusler,18.5
Arnaud+Arbouet,1.3333333333333333
Shigehiro+Takajo,3.0
Hanns Walter+Müller,12.125
Ronald+Geballe,13.714285714285714
Derek+Austin,8.0
Sandipan+Sengupta,3.25
Sayantan+Ghosh,0.0
Vance+Bergeron,5.0
Lasse B.+Vilhelmsen,4.5
Arndt+Simon,2.75
Werner+Gillijns,5.0
Jason+Brooks,6.0
Christophe+Berthod,78.0
Federico Garcia+Santibáñez,1.0
William+Detmold,11.428571428571429
Dumitru+Mazilu,15.0
Shogo+Hashimoto,0.0
Ivar+Zapata,27.5
Marcin+Dukalski,0.5
Miloslav+Znojil,6.888888888888889
Giles A.+Graham,2.0
Malcolm+Howells,6.0
Ahmed+Abdelzaher,0.0
Michael M.+Fogler,13.166666666666666
Pierre+de Fouquieres,4.0
Haitao+Wang,1.5
Vyacheslav F.+Solovyov,0.5
Marie+D'Iorio,0.0
Matthew J.+Carter,1.0
Keshav M.+Dani,1.0
Kuldeep+Kumar,4.4
Amir+Abdallah,3.0
