Name,Productivity
Jose R.+Lozano,2
Yanier+Crespo,4
Sebastian+Keller,1
Ahmad+Bedram,1
Arvind+Vaidya,1
Vu Ngoc+Khiêm,1
Keshav N.+Shrivastava,16
Marco+Guzzi,11
Wolfgang+Häusler,18
Arnaud+Arbouet,6
Shigehiro+Takajo,1
Hanns Walter+Müller,16
Ronald+Geballe,14
Derek+Austin,1
Sandipan+Sengupta,8
Sayantan+Ghosh,1
Vance+Bergeron,2
Lasse B.+Vilhelmsen,2
Arndt+Simon,4
Werner+Gillijns,2
Jason+Brooks,1
Christophe+Berthod,3
Federico Garcia+Santibáñez,1
William+Detmold,42
Dumitru+Mazilu,9
Shogo+Hashimoto,1
Ivar+Zapata,4
Marcin+Dukalski,4
Miloslav+Znojil,9
Giles A.+Graham,1
Malcolm+Howells,1
Ahmed+Abdelzaher,1
Michael M.+Fogler,18
Pierre+de Fouquieres,1
Haitao+Wang,2
Vyacheslav F.+Solovyov,2
Marie+D'Iorio,2
Matthew J.+Carter,2
Keshav M.+Dani,2
Kuldeep+Kumar,5
Amir+Abdallah,1
Anders+Hansson,7
Takashi+Washio,2
Andres+Castellanos-Gomez,1
Antoni S.+Gozdz,1
José-María+Martí,1
Péter+Szelestey,1
James N.+Cook,2
Romeo+de Coss,2
Sefi+Givli,2
Alberto+Ventura,1
Olivier+Michel,1
Wataru+Oohara,2
Nigel+Wright,1
Dimas G.+de Oteyza,2
Katrina E.+Hibberd,1
Christopher C. J.+Potter,1
Giacomo M.+D'Ariano,3
Douglas H.+Ewing,2
Raz+Kupferman,10
Earl+Scime,2
Gunnar T.+Linke,1
Belén+Maté,1
Mona+Frommert,2
Michael+Hutchinson,1
Lawrence A.+Wade,2
Philippe+Haas,1
Anton+Anema,1
Janice H.+Nickel,7
Eckhart+Fretwurst,1
Sergej+Orlov,2
Erina+Nishida,2
Lon+Wilkens,2
A. Sander+Haase,1
Cenalo+Vaz,32
Kentaro+Sato,5
Yasuki+Nagai,1
William M.+Nelson,2
Guliano+Benenti,1
Akira+Hayama,1
Angelo+Calci,11
Leonard+Gamberg,4
Jiho+Kim,1
Thibault+Damour,120
Laurie M.+Brown,41
Hiroto+Morishita,1
Hans+Rabus,3
Carles+Bona,7
Gerald D.+Stevens,1
Yoshio+Yamaguchi,5
Matthias+Rybarsch,1
Nathan+Goldman,8
Mohammad Abdur+Rashid,1
Mayumi+Aoki,23
Michael P.+Tuite,1
Yuriko Sassa+Kawamura,1
Sami+Nurmi,2
Kumar+Nanjundiah,1
Frederick J.+Walker,1
Evan H.+Abramson,4
Stefan+Naler,1
Oscar+Fuentealba,1
Horia I.+Petrache,2
Frank S.+Tomkins,19
Steven J. M.+Habraken,4
Michel+Orrit,9
Kiyoshi+Nishizawa,1
Shuangquan+Xie,1
Nick+Dorey,2
Denis+Bartolo,23
Michael+Rubinstein,25
Alberto+Abad,1
Max J.+Breitschafter,1
Kurt A.+Buzard,2
Matthias+Apel,1
Nikolay+Nizov,1
Kin-Chit+O,1
Vincenzo+Augelli,1
Tom+Vogt,4
Cynthia R.+McIntyre,1
Peter+Samuelsson,5
Matthew D.+Sievert,5
Gorden+Videen,3
Yosuke+Nagaoka,5
Karl+Mannheim,3
Mikk+Lippmaa,2
Sven+van Teeffelen,5
Daniela+Schulze,1
Ovidiu D.+Gordan,2
Dawn A.+Bonnell,11
Vincent+Davesne,1
Takasi+Shoji,1
Alexia+Auffèves,6
Kausik+Bhattacharyya,1
Alison E.+Malcolm,2
Michael+Neumann,1
Hideyuki+Kato,1
Linus+Pauling,42
Wanhee+Lee,2
Timothy M.+Swager,1
Hidehiko+Fukunaga,1
S. Alexander+Ridgway,3
Christian K.+Machens,1
Steve B.+Lowen,1
Kengo+Ishiyama,2
Edgar Campos+Furtado,2
Cory R.+Dean,2
Kenneth C.+Rule,4
Konstantinos+Konstantinou,1
Erwin A.+Schuberth,2
Hanna+Vehkamäki,5
Bruno+Bassetti,2
Laure+Bourgeois,3
Jyoti+Mazumder,1
Steven S.+McCready,1
Gabriel+Hose,11
Gottfried+Bauer,1
Trieu+Nguyen,1
Ted M.+Clark,1
Kazuki+Kishinawa,2
Torsten+Rabe,1
Elena+Gnani,2
V. Kelvin+Neil,1
Tiago P.+Peixoto,20
Arthur+Parzygnat,1
Nick P.+Proukakis,2
Dieter H.+Hartmann,2
Niels Hessel+Andersen,9
Pranati K.+Rath,2
Thiago V.+Acconcia,2
Antti+Lauri,1
Shigeki+Otani,11
Filip A.+Rasmussen,1
Mihoko M.+Nojiri,43
Sergey+Polyutov,1
Yves+Noat,4
Edwin C.+Jones,3
Malay+Dalui,1
Thierry+Dombre,8
Naresh+Chandra,9
Henrique N.+Bez,1
Jihyun+Choi,1
Mukesh+Kumar,6
Vittorio+Rosato,6
Barry+Winn,3
Jacob J.+Wisser,1
Diana+Shvydka,2
Jonghyun+Kahng,1
Masanori+Kaku,1
Kazuhito+Fujii,3
Nils Erik+Dahlen,6
Douglas E.+Baldwin,2
Julia A.+Kornfield,1
Colin V.+Parker,6
Yiannis+Sanakis,1
Sabine+Leroch,1
Karen+Lee,1
Gabriel A.+Cwilich,2
Aniello+Lampo,3
Jason+Pelc,1
Igor+Zorić,2
Reinaldo+de Melo e Souza,2
Shlomo+Ovadia,1
Anne K.+Starace,1
Holger+Haas,1
Delia+Ristoiu,1
Dipti+Pal,1
P. Craig+Taylor,2
Howard C.+Berg,4
Sylvain+Bréchet,1
Brice+Smith,1
James R.+Beckett,3
Douglas C.+Allan,25
Martin+Indergand,3
Leon J.+Radziemski,3
Thuc-Quyen+Nguyen,2
Alexander+Piel,14
Apisit+Tongchai,1
Nuno+Franco,1
Michael+Naguib,2
Alexander+Shengelaya,1
Ahmad+Amjadi,1
Hideyuki+Kugimiya,1
Dimitris A.+Papaconstantopoulos,1
Sebastian+Orzeł,1
Balbir S.+Reehal,1
Tsutomu+Mitsuishi,1
Ann E.+Orel,9
Pankaj K.+Mishra,3
Claire K.+Thomas,1
Pavel+Korzhavyi,1
Grzegorz+Białkowski,2
Sherwin J.+Singer,13
Koichi+Miyamoto,6
Philip J.+Camp,17
Antoine+Campagne,1
Yakir+Hadad,1
Tapani A.+Pakkanen,2
Nicki+Bornhauser,2
Biswajit+Karmakar,9
Rajendra R.+Zope,25
Kay+Weiss,1
Wolfgang+Muschik,2
Vandana+Nanal,2
Vladimir I.+Sugakov,1
Jackson D.+Clarke,5
Caroline+Mellot-Draznieks,1
Régis+André,5
Hiroyuki+Mori,15
Hogun+Jhang,1
Arneil+Reyes,1
Changbong+Hyeon,4
Katalin+Kovács,2
Joanna+Schmit,1
Peter+Orland,20
Shayne+Reichard,1
Jivtesh+Garg,3
Yuriy+Zinchenko,2
Patricia T.+Boyd,2
Peter+Lipa,5
Josep M.+Ribó,1
Kostas N.+Orginos,1
Stefano+Ranfone,2
W. P. Karel+Zapfe,1
Rolf E.+Isele-Holder,1
Stuart P.+Lloyd,12
Gene+Cantwell,1
Max+Goodrich,8
Vishagan+Ratnaswamy,1
Josef+Zähringer,2
Angela J.+Langdon,1
Xavier+Garcia i Tormo,1
James+Corones,2
Alexander+Schwarz,4
Guangqiang+Jia,2
Hideko+Nagahiro,11
Michael+Kempe,1
Christian+Jost,2
Roberto P. J.+Perazzo,2
Siegfried+Fussy,1
Santanu+Mondal,2
Gregoire+Brebner,1
Binit+Lukose,1
Prashant+Nagpal,1
Alfred A.+Kraus,18
Kenichi+Imaeda,3
Gennadiy+Burlak,5
Antoine J.+Cerfon,1
Tristan+Farrow,2
Fabian+Brau,17
Markus+Bär,37
Kenneth+Emerson,3
Razvan+Caracas,12
Peter+Ashburn,1
Mitsuhiro+Toriumi,1
Marin+Soljačic,1
Oswaldo+Zapata,1
Gudrun+Hagemann,1
Hazel+Pearson,2
